,source_sentence,human,time,location,label,augmentation
0,"In 1838 he was Government Resident at Bunbury, and he was a Member of the Executive Council in 1841.",he,1841,Bunbury,start position,"In 1838, Bunbury had him as Government Resident, and in 1841, he was a Member of the Executive Council."
1,"Dubuc was born in St. Johnsbury, Vermont, in 1888.",Dubuc,1888,Vermont,birth,"Dubuc's birth took place in St. Johnsbury, Vermont, in 1888."
2,"He died on February 19, 1992, in Arlington, Virginia, and his ashes where buried at Arlington National Cemetery beside two 2-star generals.",He,"February 19, 1992",Arlington,die,"On February 19, 1992, in Arlington, Virginia, he passed away, and his ashes were buried at Arlington National Cemetery beside two 2-star generals."
3,In 1856 he was appointed principal flute of the Bolshoi Theatre in Moscow.,he,1856,Moscow,start position,His appointment as principal flute of the Bolshoi Theatre in Moscow was in 1856.
4,"Born in Timișoara, Romania, where he lived until the age of nineteen, Skeid, who studied the violin, was named for famous composer Ciprian Porumbescu.",he,the age of nineteen,Timișoara,birth,"Skeid, who studied the violin, was named for famous composer Ciprian Porumbescu, and he was born in Timișoara, Romania, where he lived until the age of nineteen."
5,"In 1825 Hartshorne was invited by his friend Frederick North, 5th Earl of Guilford, who had been appointed ""archon"" over the University of Corfu he had founded, to accompany him to the island, which was then ruled by the British.",Guilford,1825,University of Corfu,start position,"In 1825, Hartshorne was invited by his friend Frederick North, 5th Earl of Guilford, who had been appointed ""archon"" over the University of Corfu he had founded, to accompany him to the island, which was then ruled by the British."
6,"Tony Rezko was born in 1955 in Aleppo, Syria, to a prominent Assyrian Syriac Catholic family.",Tony Rezko,1955,Aleppo,birth,"Tony Rezko, born in 1955 in Aleppo, Syria, belonged to a prominent Assyrian Syriac Catholic family."
7,"At the age of 12, along with her parents, Anne Hazen McFarland went to live with her grandfather, Andrew McFarland, at Jacksonville, Illinois, who was long celebrated in the treatment of the insane, and founder of Oak Lawn Retreat, also in Jacksonville.",Anne Hazen McFarland,the age of,Jacksonville,settlement,"At the age of 12, Anne Hazen McFarland went to live with her parents, along with her grandfather, Andrew McFarland, at Jacksonville, Illinois, who was long celebrated in the treatment of the insane, and founder of Oak Lawn Retreat, also in Jacksonville."
8,"After graduating from Osaka University of Commerce, he joined newly was promoted to J1 League club, Cerezo Osaka in 1995.",he,1995,Osaka University of Commerce,education,"After graduating from Osaka University of Commerce, he joined and was newly promoted to J1 League club, Cerezo Osaka in 1995."
9,"Finally, he was executed on June 30, 1925 in Baku.",he,"June 30, 1925",Baku,die,"Finally, his execution took place on June 30, 1925 in Baku."
10,"He married Feigele Lipszyc, daughter of Moshe ""Halfon"" Lipszyc, in 1811, and settled in Warsaw.",He,1811,Warsaw,marry,"In 1811, Feigele Lipszyc, daughter of Moshe ""Halfon"" Lipszyc, was married by him, and they settled in Warsaw."
11,"In 1887, they were joined by their younger brother, Hugo (1868–1939), who had originally moved to the city to attend St. Louis Medical College.",they,1887,St. Louis Medical College,education,"In 1887, their younger brother, Hugo (1868–1939), who had originally moved to the city to attend St. Louis Medical College, joined them."
12,"Tommy Burns won his first race at age 16 at a racetrack in Hamilton, Ontario.",Tommy Burns,age 16,Hamilton,competition,"At a racetrack in Hamilton, Ontario, Tommy Burns won his first race at age 16."
13,"Reed""s first attempt to enter Parliament was in Lambeth, contesting the Labour nomination for the Streatham constituency in 2008, on the retirement of Keith Hill.",Keith Hill,2008,Lambeth,end position,"Reed""s first attempt to enter Parliament was in Lambeth, contesting the Labour nomination for the Streatham constituency in 2008, on the retirement of Keith Hill."
14,"He was born on March 13, 1863, in Medina, Orleans County, New York, the son of Michael O""Malley and Bridget (Whalen) O""Malley.","Bridget (Whalen) O""Malley","March 13, 1863",Medina,give birth,"On March 13, 1863, in Medina, Orleans County, New York, he was born, the son of Michael O""Malley and Bridget (Whalen) O""Malley."
15,"He was born in a tiny Barcelona apartment in Ronda de Sant Antoni on June 20th, 1940, from parents Concepció Jornet and Pere Benet.",He,"June 20th, 1940",Barcelona,birth,"From parents Concepció Jornet and Pere Benet, he was born in a tiny Barcelona apartment in Ronda de Sant Antoni on June 20th, 1940."
16,"After losing to future world champion Nino Benvenuti in Milan, Leahy fought for a final time on 19 March 1965, losing to Jupp Elze in Cologne, Germany.",Leahy,19 March 1965,Milan,competition,"After losing to future world champion Nino Benvenuti in Milan, Leahy fought for a final time on 19 March 1965, losing to Jupp Elze in Cologne, Germany."
17,"His parents, Samuel and Sarah (Soole) Hinckley, were followers of the Nonconformist minister John Lothropp, in whose church at nearby Hawkhurst Thomas was baptized on March 19, 1618.",John Lothropp,"March 19, 1618",Hawkhurst,ceremony,"His parents, Samuel and Sarah (Soole) Hinckley, were followers of the Nonconformist minister John Lothropp, in whose church at nearby Hawkhurst Thomas was baptized on March 19, 1618."
18,Henry III died on 11 December 1310 and was buried in the Cistercian Church of Lubiąż.,Henry III,11 December 1310,Cistercian Church of Lubiąż,die,"On 11 December 1310, Henry III died and was buried in the Cistercian Church of Lubiąż."
